"Sciezka Folderu";"Nazwa Pliku";"Rozszerzenie";"Czas Trwania";"Data Utworzenia"
"C:\videos\Alya Sometimes Hides Her Feelings in Russian [Tenrai-Sensei]";"Alya Sometimes Hides Her Feelings In Russian - S01E01 - Alya Hides Her Feelings In Russian_small";".mkv";"00:24:40";"2026-05-05 20:52:14"
"C:\videos\Alya Sometimes Hides Her Feelings in Russian [Tenrai-Sensei]";"Alya Sometimes Hides Her Feelings In Russian - S01E02 - So Much For Childhood Friends_small";".mkv";"00:24:40";"2026-05-05 20:52:14"
"C:\videos\Alya Sometimes Hides Her Feelings in Russian [Tenrai-Sensei]";"Alya Sometimes Hides Her Feelings In Russian - S01E03 - And So They Met_small";".mkv";"00:24:41";"2026-05-05 20:52:14"
"C:\videos\Alya Sometimes Hides Her Feelings in Russian [Tenrai-Sensei]";"Alya Sometimes Hides Her Feelings In Russian - S01E04 - An Outpouring Of Emotion_small";".mkv";"00:24:11";"2026-05-05 20:52:14"
"C:\videos\Alya Sometimes Hides Her Feelings in Russian [Tenrai-Sensei]";"Alya Sometimes Hides Her Feelings In Russian - S01E05 - Different People, Common Undercurrent_small";".mkv";"00:24:11";"2026-05-05 20:52:14"
"C:\videos\Alya Sometimes Hides Her Feelings in Russian [Tenrai-Sensei]";"Alya Sometimes Hides Her Feelings In Russian - S01E06 - A Kiss Of The Indirect Variety_small";".mkv";"00:23:41";"2026-05-05 20:52:14"
"C:\videos\Alya Sometimes Hides Her Feelings in Russian [Tenrai-Sensei]";"Alya Sometimes Hides Her Feelings In Russian - S01E07 - A Storm Arrives_small";".mkv";"00:24:40";"2026-05-05 20:52:14"
"C:\videos\Alya Sometimes Hides Her Feelings in Russian [Tenrai-Sensei]";"Alya Sometimes Hides Her Feelings In Russian - S01E08 - Student Congress_small";".mkv";"00:24:11";"2026-05-05 20:52:14"
"C:\videos\Alya Sometimes Hides Her Feelings in Russian [Tenrai-Sensei]";"Alya Sometimes Hides Her Feelings In Russian - S01E09 - Rom-Commy With A Chance Of Hypnosis_small";".mkv";"00:25:11";"2026-05-05 20:52:14"
"C:\videos\Alya Sometimes Hides Her Feelings in Russian [Tenrai-Sensei]";"Alya Sometimes Hides Her Feelings In Russian - S01E10 - Birthday Party, Much Belated_small";".mkv";"00:24:10";"2026-05-05 20:52:14"
"C:\videos\Alya Sometimes Hides Her Feelings in Russian [Tenrai-Sensei]";"Alya Sometimes Hides Her Feelings In Russian - S01E11 - An Unexpected Curtain-Raiser_small";".mkv";"00:24:41";"2026-05-05 20:52:14"
"C:\videos\Alya Sometimes Hides Her Feelings in Russian [Tenrai-Sensei]";"Alya Sometimes Hides Her Feelings In Russian - S01E12 - Chin Up And Face Forward_small";".mkv";"00:25:11";"2026-05-05 20:52:14"
"C:\videos\aot s1 25 odcinków_small";"e01 [224918752b]_small";".mp4";"00:24:06";"2026-05-05 20:52:23"
"C:\videos\aot s1 25 odcinków_small";"e02 [22491935c7]_small";".mp4";"00:24:29";"2026-05-05 20:52:23"
"C:\videos\aot s1 25 odcinków_small";"e03 [2249303391]_small";".mp4";"00:24:29";"2026-05-05 20:52:23"
"C:\videos\aot s1 25 odcinków_small";"e04 [2249338782]_small";".mp4";"00:24:34";"2026-05-05 20:52:23"
"C:\videos\aot s1 25 odcinków_small";"e05 [22493309b8]_small";".mp4";"00:24:06";"2026-05-05 20:52:23"
"C:\videos\aot s1 25 odcinków_small";"e06 [2249335161]_small";".mp4";"00:24:06";"2026-05-05 20:52:23"
"C:\videos\aot s1 25 odcinków_small";"e07 [224919770c]_small";".mp4";"00:24:29";"2026-05-05 20:52:23"
"C:\videos\aot s1 25 odcinków_small";"e08 [224932494e]_small";".mp4";"00:24:29";"2026-05-05 20:52:23"
"C:\videos\aot s1 25 odcinków_small";"e09 [22493039e8]_small";".mp4";"00:24:21";"2026-05-05 20:52:23"
"C:\videos\aot s1 25 odcinków_small";"e10 [2249299778]_small";".mp4";"00:24:06";"2026-05-05 20:52:23"
"C:\videos\aot s1 25 odcinków_small";"e11 [224932557b]_small";".mp4";"00:24:29";"2026-05-05 20:52:23"
"C:\videos\aot s1 25 odcinków_small";"e12 [22493327a8]_small";".mp4";"00:24:29";"2026-05-05 20:52:23"
"C:\videos\aot s1 25 odcinków_small";"e13 [2249236746]_small";".mp4";"00:24:29";"2026-05-05 20:52:23"
"C:\videos\aot s1 25 odcinków_small";"e14 [22493333cb]_small";".mp4";"00:24:29";"2026-05-05 20:52:23"
"C:\videos\aot s1 25 odcinków_small";"e15 [22492499a3]_small";".mp4";"00:24:29";"2026-05-05 20:52:23"
"C:\videos\aot s1 25 odcinków_small";"e16 [22506743fc]_small";".mp4";"00:24:29";"2026-05-05 20:52:23"
"C:\videos\aot s1 25 odcinków_small";"e17 [2250669539]_small";".mp4";"00:24:29";"2026-05-05 20:52:23"
"C:\videos\aot s1 25 odcinków_small";"e18 [225067072a]_small";".mp4";"00:24:29";"2026-05-05 20:52:23"
"C:\videos\aot s1 25 odcinków_small";"e19 [2250665320]_small";".mp4";"00:24:29";"2026-05-05 20:52:23"
"C:\videos\aot s1 25 odcinków_small";"e20 [2250664794]_small";".mp4";"00:24:29";"2026-05-05 20:52:23"
"C:\videos\aot s1 25 odcinków_small";"e21 [22506737f5]_small";".mp4";"00:24:29";"2026-05-05 20:52:23"
"C:\videos\aot s1 25 odcinków_small";"e22 [22506785d3]_small";".mp4";"00:24:29";"2026-05-05 20:52:23"
"C:\videos\aot s1 25 odcinków_small";"e23 [22506767b7]_small";".mp4";"00:24:29";"2026-05-05 20:52:23"
"C:\videos\aot s1 25 odcinków_small";"e24 [22506749e2]_small";".mp4";"00:24:29";"2026-05-05 20:52:23"
"C:\videos\aot s1 25 odcinków_small";"e25 [2250677333]_small";".mp4";"00:23:51";"2026-05-05 20:52:23"
"C:\videos\Arte [Tenrai-Sensei]";"Arte - S01E01 - I Want To Be An Apprentice_small";".mkv";"00:23:41";"2026-05-05 20:52:14"
"C:\videos\Arte [Tenrai-Sensei]";"Arte - S01E02 - A New Life_small";".mkv";"00:23:41";"2026-05-05 20:52:14"
"C:\videos\Arte [Tenrai-Sensei]";"Arte - S01E03 - First Job_small";".mkv";"00:23:41";"2026-05-05 20:52:14"
"C:\videos\Arte [Tenrai-Sensei]";"Arte - S01E04 - Courtesan_small";".mkv";"00:23:41";"2026-05-05 20:52:14"
"C:\videos\Arte [Tenrai-Sensei]";"Arte - S01E05 - Inescapable Bond_small";".mkv";"00:23:41";"2026-05-05 20:52:14"
"C:\videos\Arte [Tenrai-Sensei]";"Arte - S01E06 - Trade Guild_small";".mkv";"00:23:41";"2026-05-05 20:52:14"
"C:\videos\Arte [Tenrai-Sensei]";"Arte - S01E07 - The Venetian Noble_small";".mkv";"00:23:41";"2026-05-05 20:52:14"
"C:\videos\Arte [Tenrai-Sensei]";"Arte - S01E08 - A New Chapter_small";".mkv";"00:23:41";"2026-05-05 20:52:14"
"C:\videos\Arte [Tenrai-Sensei]";"Arte - S01E09 - Naughty Child_small";".mkv";"00:23:41";"2026-05-05 20:52:14"
"C:\videos\Arte [Tenrai-Sensei]";"Arte - S01E10 - Katarina's Dinner_small";".mkv";"00:23:41";"2026-05-05 20:52:14"
"C:\videos\Arte [Tenrai-Sensei]";"Arte - S01E11 - The Faliers' Portrait Painter_small";".mkv";"00:23:41";"2026-05-05 20:52:14"
"C:\videos\Arte [Tenrai-Sensei]";"Arte - S01E12 - Apprentice_small";".mkv";"00:23:41";"2026-05-05 20:52:14"
"C:\videos\azumanga";"10_small";".mp4";"00:24:11";"2026-05-05 20:51:59"
"C:\videos\azumanga";"11_small";".mp4";"00:24:11";"2026-05-05 20:51:59"
"C:\videos\azumanga";"1_small";".mp4";"00:24:09";"2026-05-05 20:51:59"
"C:\videos\azumanga";"1_small_small";".mp4";"00:24:09";"2026-05-05 20:51:59"
"C:\videos\azumanga";"2_small";".mp4";"00:24:09";"2026-05-05 20:51:59"
"C:\videos\azumanga";"3_small";".mp4";"00:24:09";"2026-05-05 20:51:59"
"C:\videos\azumanga";"4_small";".mp4";"00:24:09";"2026-05-05 20:51:59"
"C:\videos\azumanga";"5_small";".mp4";"00:24:09";"2026-05-05 20:51:59"
"C:\videos\azumanga";"6_small";".mp4";"00:24:09";"2026-05-05 20:51:59"
